Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776712557,100,,Aggregated,156.400000,0.000000,250,310,360,410,520,670,880,1100,1600,2000,2000,5785,0,250.0,283.4928098019212,9.429181001905818,2010.110982999322,1219.010544511668
1776712558,100,,Aggregated,158.600000,0.000000,250,320,370,410,530,680,910,1100,1800,2900,2900,5925,0,250.0,289.90209350094466,9.429181001905818,2879.8860349997994,1220.0818565400843
1776712559,100,,Aggregated,160.100000,0.000000,250,320,370,410,550,710,960,1200,1900,2900,2900,6064,0,250.0,296.52544736231005,9.429181001905818,2879.8860349997994,1222.5728891820581
1776712560,100,,Aggregated,162.800000,0.000000,260,320,380,420,560,740,1000,1200,1900,2900,2900,6221,0,260.0,302.59737270985494,9.429181001905818,2879.8860349997994,1225.029577238386
1776712561,100,,Aggregated,163.300000,0.000000,260,330,380,420,560,740,1000,1200,2000,2900,2900,6402,0,260.0,305.5828761205886,9.429181001905818,2879.8860349997994,1225.859731333958
1776712562,100,,Aggregated,160.500000,0.000000,260,330,390,430,570,750,1000,1200,2000,2900,2900,6581,0,260.0,308.7709039477358,9.429181001905818,2879.8860349997994,1230.4958213037532
1776712563,100,,Aggregated,160.000000,0.000000,260,330,390,430,580,760,1100,1200,2000,2900,2900,6748,0,260.0,311.8698814595408,9.429181001905818,2879.8860349997994,1233.4140486069946
1776712564,100,,Aggregated,160.300000,0.000000,270,330,390,430,580,760,1100,1200,2000,2900,2900,6927,0,270.0,314.8026811339788,9.429181001905818,2879.8860349997994,1239.1375775949184
1776712565,100,,Aggregated,161.000000,0.000000,270,330,400,440,580,760,1100,1200,1900,2900,2900,7117,0,270.0,316.6112834607374,9.429181001905818,2879.8860349997994,1247.1576506955178
1776712566,100,,Aggregated,160.700000,0.000000,270,340,400,440,590,770,1100,1200,1900,2900,2900,7256,0,270.0,319.83247196928045,9.429181001905818,2879.8860349997994,1251.0647739801543
1776712567,100,,Aggregated,161.200000,0.000000,270,340,400,450,590,780,1100,1200,1900,2900,2900,7405,0,270.0,323.53298262891326,9.429181001905818,2879.8860349997994,1256.4175557056044
1776712568,100,,Aggregated,161.300000,0.000000,280,340,410,450,600,790,1100,1300,2000,2900,2900,7538,0,280.0,328.68508791325735,9.429181001905818,2879.8860349997994,1262.589944282303
1776712569,100,,Aggregated,161.700000,0.000000,280,350,410,450,620,800,1100,1300,2000,2900,2900,7706,0,280.0,332.52508680990206,9.429181001905818,2879.8860349997994,1268.2969114975344
1776712570,100,,Aggregated,161.100000,0.000000,280,350,410,460,620,800,1100,1300,2000,2900,2900,7877,0,280.0,335.0805166389558,9.429181001905818,2879.8860349997994,1275.9808302653294
1776712571,100,,Aggregated,161.200000,0.000000,280,350,410,460,620,800,1100,1300,2000,2900,2900,8056,0,280.0,336.4604428090954,9.429181001905818,2879.8860349997994,1281.14908142999
1776712572,100,,Aggregated,165.300000,0.000000,280,350,420,460,620,810,1100,1300,2000,2900,2900,8223,0,280.0,338.5948680801535,9.429181001905818,2879.8860349997994,1285.35023713973
1776712573,100,,Aggregated,165.200000,0.000000,280,350,420,460,630,810,1100,1300,2000,2900,2900,8393,0,280.0,340.6320412599891,9.429181001905818,2879.8860349997994,1290.310377695699
1776712574,100,,Aggregated,164.000000,0.000000,280,350,420,470,630,810,1100,1300,2000,2900,2900,8565,0,280.0,342.4699222582733,9.429181001905818,2879.8860349997994,1294.5353181552832
1776712575,100,,Aggregated,164.300000,0.000000,280,360,420,470,630,820,1100,1300,2000,2900,2900,8746,0,280.0,344.40928584314514,9.429181001905818,2879.8860349997994,1301.8174022410244
1776712576,110,,Aggregated,163.900000,0.000000,290,360,420,470,640,820,1100,1300,2000,2900,2900,8878,0,290.0,346.48255086981067,9.429181001905818,2879.8860349997994,1305.8751971164677
1776712577,120,,Aggregated,162.500000,0.000000,290,360,430,480,650,840,1100,1300,1900,2900,2900,9017,0,290.0,350.74725668594476,9.429181001905818,2879.8860349997994,1310.8125762448708
1776712578,130,,Aggregated,162.300000,0.000000,290,370,430,480,660,860,1200,1400,2100,2900,2900,9125,0,290.0,354.91069337130347,9.429181001905818,2879.8860349997994,1312.2392328767123
1776712579,140,,Aggregated,161.300000,0.000000,290,370,440,490,680,910,1200,1500,2200,3200,3200,9282,0,290.0,363.5693168783802,9.429181001905818,3199.7278290000395,1315.4338504632622
1776712580,150,,Aggregated,160.700000,0.000000,290,370,440,490,680,940,1300,1500,2400,3400,3400,9456,0,290.0,368.1831936609787,9.429181001905818,3378.560445002222,1314.080478003384
1776712581,150,,Aggregated,157.500000,0.000000,290,370,440,500,700,960,1300,1600,2900,3500,3500,9639,0,290.0,373.7292687585069,9.429181001905818,3526.6224649967626,1316.0371407822388
1776712582,150,,Aggregated,157.600000,0.000000,290,370,450,510,710,990,1400,1800,3000,6500,6500,9811,0,290.0,380.9556453217035,9.429181001905818,6526.396440996905,1313.511262868209
1776712583,150,,Aggregated,156.800000,0.000000,290,370,450,520,720,1000,1400,1800,3100,6500,6500,9980,0,290.0,387.0839925336924,9.429181001905818,6526.396440996905,1311.065130260521
1776712584,150,,Aggregated,158.400000,0.000000,290,370,450,520,740,1100,1500,1900,3200,5600,6500,10163,0,290.0,393.75791251257476,9.429181001905818,6526.396440996905,1308.0624815507233
1776712585,150,,Aggregated,157.900000,0.000000,290,380,450,530,740,1100,1500,2000,3400,5600,6500,10354,0,290.0,399.1393716953145,9.429181001905818,6526.396440996905,1307.381784817462
